idnumber	Canonical_Smiles	Group
Z2858878440	CC(C)(C)OC(=O)N1CCCCC(C1)N(Cc2cc(cs2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z3680204463	CC(C)(C)OC(=O)N(CCC(=O)N[C@@H]1CN(C[C@H]1c2ccccc2)C(=O)c3cccc(c3)S(=O)(=O)N(CC=C)c4ccc(Cl)cc4)CC=C	L1
Z89845811	CCN(C(=O)COC(=O)c1c2CCCc2sc1NC(=O)c3occc3)c4nc5ccccc5s4	L1
Z57023812	CCOC(=O)c1cc(sc1NC(=O)COC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(C)C	L1
Z15825203	CCCCCCN1N=C(C(=O)OCC(=O)NC(c2ccccc2)c3ccccc3)c4ccccc4C1=O	L1
Z2968932768	OC1=C(\C=C\2/Sc3cc(ccc3N2CCCS(=O)(=O)O)c4ccccc4)C(=O)C(=O)/C/1=C\c5sc6cc(ccc6[n+]5CCCS(=O)(=O)O)c7ccccc7	L1
Z56930741	CCOC(=O)c1c2CCCc2sc1NC(=O)\C(=C(/S)\Nc3ccc(OC)cc3)\[n+]4ccccc4	L1
Z56766107	OS(=O)(=O)CCC[n+]1c(\C=C\c2cn(nc2c3cccs3)c4ccccc4)sc5ccccc15	L1
Z20225769	CCOC(=O)c1c(NC(=O)CSc2ncnc3sc4CCCCc4c23)scc1c5oc(C)cc5	L1
Z2968932122	CC1=C(CC(C)(C)C/C/1=C\c2sc3ccccc3[n+]2CCCS(=O)(=O)O)\C=C\4/Sc5ccccc5N4CCCS(=O)(=O)O	L1
Z89963624	CCOC(=O)c1oc2ccccc2c1CSC3=Nc4sc(C)c(c5ccc(F)cc5)c4C(=O)N3	L1
Z444666312	CCS(=O)(=O)c1ccccc1C(=O)Nc2nc(Cc3ccccc3)c(s2)c4ccccc4	L1
Z46108930	CC(C)(C)C1C\C(=C/c2oc(cc2)c3cccc(c3)[N+](=O)[O-])\c4nc5ccccc5c(C(=O)O)c4C1	L1
Z28347768	CCOc1ccc(cc1)c2nc(NC(=O)C(CCSC)N3C(=O)c4ccccc4C3=O)sc2C	L1
Z2938150571	COC(=O)c1csc(CN([C@@H]2CCC[C@H](C2)NC(=O)OC(C)(C)C)C(=O)OCC3c4ccccc4c5ccccc35)c1	L1
Z2938150577	COC(=O)c1csc(CN([C@@H]2CC[C@H](CC2)NC(=O)OC(C)(C)C)C(=O)OCC3c4ccccc4c5ccccc35)c1	L1
Z2938150707	COC(=O)c1csc(CN([C@@H]2CCCC[C@H]2NC(=O)OC(C)(C)C)C(=O)OCC3c4ccccc4c5ccccc35)c1	L1
Z56940562	CCCCCCCOC(=O)c1c(C)oc2c3ccccc3c(NS(=O)(=O)c4ccccc4)cc12	L1
Z30534189	CCCCN(c1ccccc1)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(OC(F)(F)F)cc3	L1
Z3488360411	OC(=O)C(Cc1cc(Br)sc1Br)NC(=O)OCC2c3ccccc3c4ccccc24	L1
Z30705172	[O-][N+](=O)c1cccc(c1)c2oc(NC(=O)c3oc4ccccc4c3CSC5CCCCC5)nn2	L1
Z2858882544	CC(C)(C)OC(=O)N1CC[C@@H](C1)N(Cc2ccc(s2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
